Word,Count
*,296
,67
@param,47
die,47
den,40
gibt,34
der,32
@return,31
ob,26
Entity,25
=,22
Maus,21
zurück,20
das,20
setzt,20
auf,20
übergebenen,19
Wert,18
wenn,18
des,16
moves,14
dice,14
oder,14
wird,14
with,14
Objektes,13
ist,13
FALSE,13
==,13
nicht,13
wurde,13
in,12
\zurück,\,12
sonst,12
\TRUE,\,11
falls,11
Maustaste,9
goal,9
and,9
was,8
Button,8
Buttons,8
eine,8
Rechteck),8
the,8
X-Wert,7
down,7
\BitsLog.d("\test"\,\,7
gedrückt,7
2,7
soll,6
:,6
x-Wert,6
vom,6
werden,6
Y-Wert,6
und,6
gehalten,6
y:,6
gesetzt,6
x:,6
Start,6
Rechteck,5
aufgerufen,5
\wird,\,5
immer,5
y-Wert,5
\überprüft,\,5
is,5
Array,5
\drin,\,5
oben,4
Geschwindigkeit,4
Würfel,4
Bild,4
\"\+level[14][0]+"\\,4
\passiert,\,4
mit,4
\"\+level[15][0]);\,4
(links,4
\y,\,4
über,4
y-Koordinate,4
im,4
Werte,4
aktuelle,4
x-Koordinate,4
Wartezeit,4
init,4
y-Richtung,4
\level[13][0]+"\\,4
x-Richtung,4
g,4
\soll,\,4
(wie,4
Millisekunden,4
gedrückter,4
\x,\,4
by,4
ein,4
auch,3
1,3
sich,3
Spieler,3
Weite,3
alle,3
change,3
\"\+level[15][1]+"\\,3
liegen,3
/,3
\angezeigt,\,3
Objekt,3
5,3
(also,3
NOT,3
für,3
paar,3
&,3
malt,3
gecheckt,3
losgelassen,3
(rgb,3
4,3
übergebene,3
dem,3
0xff;,3
zwischen,3
fest,3
function,3
zu,3
class,3
This,3
\"\+level[15][0]+"\\,3
Spielfeld,3
ausgewählt,3
It,3
3,3
Höhe,3
boolean,3
benutzt,3
6,3
JumpEntity,3
\"\+level[15][2]);\,3
Dirk,2
(die,2
aktuell,2
rgb,2
vergangen,2
actually,2
@author,2
c,2
IDE,2
stub,2
komplett,2
used,2
vecX,2
bPressed,2
>>,2
schon,2
\an,\,2
much,2
breit,2
Breiten-Wert,2
only,2
durchsichtig,2
Klasse,2
Sachen,2
von,2
Höhen-Wert,2
Funktion,2
startX,2
TRUE,2
sie,2
angezeigt,2
no,2
Geschwindkeit,2
packed,2
boolean-Wert,2
width:,2
neuer,2
difference,2
hoch,2
Level,2
+,2
Graphics2D,2
\Funktionsaufrufen,\,2
bOver,2
Verschiebung,2
überprüfende,2
empty,2
mouse,2
APK,2
verändern,2
Aporius,2
into,2
ergeben),2
height:,2
\drüber,\,2
draw,2
an,2
\gedrückt,\,2
___Generated_by_IDEA___,2
AUTO-GENERATED,1
hin,1
bWait,1
Aufruf,1
width,1
einzigartig,1
Methode,1
schneiden,1
dritte,1
Y,1
p[4],1
/pressed,1
p[8],1
dices,1
überprüft,1
/**,1
16),1
zur,1
p[3],1
should,1
b,1
höchsten,1
{,1
\Button,\,1
Manifest,1
south);,1
dann,1
p[1],1
Überprüfung,1
\"\before\,1
data,1
geklickt,1
Übergebenen,1
changeY,1
Values,1
mittigen,1
resource,1
bVisible,1
Update,1
getY(),1
p[9],1
red,1
aapt,1
automatically,1
\pixelgenau,\,1
\Wert,\,1
delta:,1
*/,1
north);,1
p[5],1
geprüft,1
10,1
modified,1
ursprünglichen,1
entity,1
entity:,1
8),1
grundlegene,1
erste,1
cY,1
\this.setWestBack(level,\,1
betrachtet,1
},1
Kopfmitte,1
green,1
found,1
überprüfender,1
pressed,1
geschafft,1
how,1
cX,1
p[10],1
\this.setEastBack(level,\,1
durchsichtige,1
p[12],1
hat,1
Rand,1
Player,1
true,1
\hatte,\,1
Y-Startwert,1
y,1
Spiel,1
\Zeit,\,1
@return:,1
7,1
return,1
it,1
veränder,1
\this.setNorthBack(level,\,1
einige,1
Kopf),1
nach,1
letzten,1
buttons,1
ganzen,1
this.rec;,1
this.getGame().getButtons()[10].setVisible(true);,1
changeY:,1
),1
seit,1
FILE,1
Rect,1
e,1
generated,1
macht,1
\"\after\,1
update,1
tool,1
MODIFY,1
am,1
linken,1
8,1
public,1
p[0],1
not,1
\werden,\,1
Pixelgenau,1
be,1
changeX,1
bewegt,1
enthält,1
Verfügung,1
bOpaque,1
\"\count:\,1
false,1
waehrend,1
bei,1
\this.setSouthBack(level,\,1
solved,1
X,1
west);,1
neues,1
Punkt,1
denke,1
getX(),1
Sichtbarkeit,1
einen,1
handelt,1
p[6],1
Object,1
p[11],1
wait_delay,1
ihre,1
ausführen,1
erben,1
\Entity,\,1
hoe,1
Entitys,1
\Überprüfung,\,1
\aufgerufen,\,1
X-Startwert,1
Klick,1
blue,1
\"\+count);\,1
schneidet,1
background,1
DO,1
sezt,1
a,1
p[7],1
zweite,1
Wenn,1
x,1
\BitsLog.d("\count"\,\,1
BuildConfig,1
ms,1
Stelle,1
sozusagen),1
0,1
east);,1
close,1
delay,1
Diese,1
final,1
from,1
Reckteck,1
think,1
RGB,1
use,1
f,1
neue,1
3geteiltes,1
changeX:,1
dadrüber,1
Funktionsaufrufen,1
ihn,1
d,1
p[2],1
height,1
rendert,1
hand,1
\sind,\,1
diesen,1
stellt,1
\Methode,\,1
level,1
Bildes,1
aktuelles,1
getRec(),1
\Funktion,\,1
bSelect,1
\"\mid\,1
