File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\ApoHybrid.java,59,45,37,3,14,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\ApoHybridButtons.java,161,87,82,2,20,0,54,273,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\ApoHybridComponent.java,236,102,67,14,41,0,93,385,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\ApoHybridConstants.java,32,12,15,0,8,0,12,119,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\ApoHybridModel.java,64,38,28,2,24,0,2,3,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\editor\ApoHybridUserlevels.java,143,120,90,29,23,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\editor\ApoHybridUserlevelsLoad.java,219,182,156,22,37,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\entity\ApoButton.java,242,126,94,25,28,0,88,471,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\entity\ApoEntity.java,436,160,113,30,51,0,225,921,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\entity\ApoHybridEntity.java,169,75,55,10,26,0,68,218,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\entity\ApoHybridString.java,85,57,48,5,18,0,10,42,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\entity\ApoLevelChooserButton.java,24,15,11,1,9,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\game\ApoHybridEditor.java,778,294,226,42,43,0,441,2382,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\game\ApoHybridGame.java,1359,394,295,74,53,0,912,4884,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\game\ApoHybridMenu.java,179,115,89,8,36,0,28,152,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\game\ApoHybridPanel.java,255,190,141,24,60,0,5,16,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\game\ApoHybridPuzzleChooser.java,172,122,89,21,34,0,16,105,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\game\ApoHybridSolve.java,235,198,142,52,25,0,12,50,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoHybrid\src\net\apogames\apohybrid\level\ApoHybridLevel.java,348,170,15,7,38,0,140,349,0,0
