Word,Count
*,302
,66
die,47
@param,47
den,40
gibt,34
der,32
@return,31
=,28
ob,26
Entity,25
setzt,20
das,20
auf,20
zurück,20
übergebenen,19
Wert,18
wenn,18
Maus,18
des,16
oder,14
wird,14
ist,13
Objektes,13
nicht,13
FALSE,13
in,13
wurde,13
\zurück,\,12
head,12
sonst,12
falls,11
\TRUE,\,11
==,11
Maustaste,9
Button,8
Buttons,8
Rechteck),8
was,8
eine,8
blue,7
green,7
gedrückt,7
\BitsLog.d("\test"\,\,7
red,7
key,6
:,6
x:,6
X-Wert,6
y:,6
und,6
gesetzt,6
gehalten,6
soll,6
werden,6
Start,6
vom,6
down,5
Rechteck,5
\wird,\,5
2,5
aufgerufen,5
\drin,\,5
the,5
aktuelle,5
right,5
left,5
draw,5
\überprüft,\,5
Y-Wert,5
up,5
Array,5
immer,5
init,4
575),4
Bild,4
\"\+level[15][0]);\,4
y-Richtung,4
ein,4
button,4
im,4
\"\+level[14][0]+"\\,4
\level[13][0]+"\\,4
(wie,4
x-Wert,4
\soll,\,4
\y,\,4
g,4
Geschwindigkeit,4
Millisekunden,4
x-Richtung,4
Wartezeit,4
x-Koordinate,4
y-Koordinate,4
\x,\,4
Werte,4
(links,4
über,4
mit,4
oben,4
\passiert,\,4
fest,3
JumpEntity,3
\angezeigt,\,3
0xff;,3
für,3
Höhe,3
boolean,3
zu,3
Schlange),3
benutzt,3
zwischen,3
übergebene,3
y-Wert,3
ausgewählt,3
coin,3
alle,3
Spielfeld,3
Wand,3
Objekt,3
liegen,3
an,3
Spieler,3
paar,3
gecheckt,3
sich,3
\"\+level[15][1]+"\\,3
\"\+level[15][2]);\,3
Weite,3
malt,3
(rgb,3
wall,3
dem,3
(ex,3
auch,3
function,3
\"\+level[15][0]+"\\,3
(also,3
&,3
bOver,2
Funktion,2
von,2
überprüfende,2
angezeigt,2
breit,2
MODIFY,2
Verschiebung,2
by,2
@author,2
vergangen,2
durchsichtig,2
Graphics2D,2
Klasse,2
height:,2
Sachen,2
width:,2
+,2
rgb,2
\an,\,2
generated,2
NOT,2
Aporius,2
neuer,2
change,2
hoch,2
Breiten-Wert,2
bPressed,2
boolean-Wert,2
some,2
\gedrückt,\,2
Dirk,2
DO,2
schon,2
\drüber,\,2
>>,2
ergeben),2
vecX,2
verändern,2
losgelassen,2
komplett,2
Höhen-Wert,2
\Funktionsaufrufen,\,2
Levelsize,2
snakes,2
level,2
Geschwindkeit,2
(die,2
pressed,2
TRUE,2
sie,2
startX,2
\this.setWestBack(level,\,1
erste,1
Kopfmitte,1
geprüft,1
\pixelgenau,\,1
\5,\,1
\hatte,\,1
automatically,1
countsize,1
einige,1
buttons,1
changeY:,1
tool,1
south);,1
8,1
be,1
{,1
16),1
bewegt,1
\"\mid\,1
hin,1
bWait,1
Aufruf,1
of,1
width,1
einzigartig,1
Automatically,1
Methode,1
21,1
dritte,1
west);,1
ihre,1
p[8],1
\Überprüfung,\,1
\aufgerufen,\,1
/**,1
X-Startwert,1
zur,1
sezt,1
zweite,1
b,1
höchsten,1
3,1
\Button,\,1
create,1
dann,1
delay,1
\"\ccccbcb"\+\,1
Reckteck,1
\"\before\,1
neue,1
p[10],1
Übergebenen,1
changeY,1
geloest,1
\"\00bcb0b"\+\,1
mittigen,1
aktuelles,1
bVisible,1
Moveanzahl,1
Wenn,1
getY(),1
\this.setSouthBack(level,\,1
@return:,1
y,1
},1
10,1
\Wert,\,1
delta:,1
Values,1
north);,1
geklickt,1
data,1
p[1],1
Y,1
ursprünglichen,1
entity,1
entity:,1
8),1
schneiden,1
p[4],1
Level,1
betrachtet,1
5,1
\"\000646a"\,\,1
überprüft,1
überprüfender,1
p[3],1
\"\0ccccc0"\+\,1
array,1
\this.setEastBack(level,\,1
should,1
Überprüfung,1
empty,1
resource,1
It,1
Update,1
p[9],1
aapt,1
\"\0666"\+\,1
h,1
\(350,\,1
Y-Startwert,1
/,1
\(70,\,1
\Zeit,\,1
i,1
(,1
7,1
return,1
it,1
veränder,1
*/,1
p[5],1
Kopf),1
nach,1
letzten,1
ganzen,1
this.rec;,1
modified,1
grundlegene,1
),1
seit,1
FILE,1
Rect,1
4,1
found,1
macht,1
\"\after\,1
blau,1
update,1
durchsichtige,1
free,1
hat,1
linken,1
Rand,1
public,1
p[0],1
not,1
\werden,\,1
with,1
Player,1
true,1
6,1
Spiel,1
\this.setNorthBack(level,\,1
bOpaque,1
\"\de"\+\,1
e,1
waehrend,1
bei,1
am,1
Pixelgenau,1
changeX,1
9,1
neues,1
Punkt,1
\"\00b666b"\+\,1
getX(),1
\"\3555"\,\,1
\"\5005"\+\,1
einen,1
enthält,1
p[6],1
\(415,\,1
rot,1
Object,1
wait_delay,1
Verfügung,1
ausführen,1
\"\count:\,1
\Entity,\,1
count,1
grüne,1
Entitys,1
false,1
X,1
denke,1
1,1
Sichtbarkeit,1
handelt,1
\"\6660"\+\,1
schneidet,1
background,1
erben,1
file,1
\"\5555"\+\,1
a,1
\"\+count);\,1
p[7],1
x,1
\BitsLog.d("\count"\,\,1
ms,1
Stelle,1
sozusagen),1
20,1
0,1
close,1
\"\ge"\+\,1
east);,1
Diese,1
from,1
ole,1
final,1
think,1
RGB,1
use,1
f,1
19,1
3geteiltes,1
class,1
dadrüber,1
Funktionsaufrufen,1
This,1
d,1
p[2],1
height,1
c,1
changeX:,1
hand,1
ihn,1
\sind,\,1
rendert,1
diesen,1
\Methode,\,1
stellt,1
Bildes,1
getRec(),1
\Funktion,\,1
bSelect,1
AUTO-GENERATED,1
