File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\gen\net\apogames\aposnake\BuildConfig.java,6,4,3,0,1,0,1,8,1,8
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\gen\net\apogames\aposnake\R.java,24,15,10,0,3,0,6,32,6,32
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\ApoSnake.java,58,45,37,3,13,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\ApoSnakeButtons.java,120,100,95,2,20,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\ApoSnakeComponent.java,160,112,77,18,31,0,17,85,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\ApoSnakeConstants.java,19,12,15,0,7,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\ApoSnakeModel.java,56,34,26,2,22,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\editor\ApoSnakeUserlevels.java,144,121,91,29,23,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\editor\ApoSnakeUserlevelsLoad.java,219,182,156,22,37,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\entity\ApoButton.java,242,126,94,25,28,0,88,471,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\entity\ApoEntity.java,436,160,113,30,51,0,225,921,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\entity\ApoLevelChooserButton.java,24,15,11,1,9,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\entity\ApoSnakeEntity.java,73,52,36,6,21,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\entity\ApoSnakeString.java,73,57,48,5,16,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\game\ApoSnakeEditor.java,436,385,310,52,50,0,1,2,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\game\ApoSnakeMenu.java,149,115,89,8,34,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\game\ApoSnakePanel.java,253,190,142,24,61,0,2,11,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\game\ApoSnakePuzzleChooser.java,156,124,91,21,32,0,0,0,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\game\ApoSnakePuzzleGame.java,920,822,652,163,79,0,19,97,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\game\ApoSnakeSolve.java,237,199,143,52,26,0,12,50,0,0
C:\Users\enokaje\eclipse-workspace\apo-games\Android\ApoSnake\src\net\apogames\aposnake\level\ApoSnakeLevel.java,170,95,15,7,38,0,37,142,0,0
